house_type,house_size,location,city,latitude,longitude,price,currency,numBathrooms,numBalconies,isNegotiable,priceSqFt,verificationDate,SecurityDeposit,Status,price_per_sqft,size_bucket,property_id
3 BHK Independent Floor ,2025,Surajmal Vihar,Delhi,28.65982056,77.30496979,58000,INR,3.0,0.0,Unknown,,Posted 2 months ago,No Deposit,Semi-Furnished,28.641975308641975,Large,33
3 BHK Apartment ,1500,Sector 4 Dwarka,Delhi,28.60392189,77.05311584,38000,INR,2.0,0.0,Unknown,,Posted 9 months ago,No Deposit,Furnished,25.333333333333332,Large,34
3 BHK Apartment ,2200,Sector 6 Dwarka,Delhi,28.59152603,77.06760406,60000,INR,3.0,0.0,Unknown,,Posted 2 months ago,No Deposit,Furnished,27.272727272727273,Large,35
1 BHK Apartment ,600,Vasant Kunj,Delhi,28.52589035,77.15148926,25000,INR,1.0,0.0,Unknown,,Posted 23 days ago,No Deposit,Furnished,41.666666666666664,Medium,36
1 BHK Apartment ,700,Sector 14 Dwarka,Delhi,21.2108593,72.77133179,18000,INR,1.0,0.0,Unknown,,Posted 22 days ago,No Deposit,Furnished,25.714285714285715,Medium,37
2 BHK Independent Floor ,900,Sarvodaya Enclave,Delhi,28.53616524,77.19776154,65000,INR,2.0,0.0,Unknown,,Posted 19 days ago,No Deposit,Furnished,72.22222222222223,Medium,38
3 BHK Independent Floor ,1350,Paschim Vihar,Delhi,28.67094231,77.10485077,44000,INR,3.0,0.0,Unknown,,Posted a month ago,No Deposit,Semi-Furnished,32.592592592592595,Large,39
3 BHK Independent Floor ,1050,Uttam Nagar,Delhi,28.62147713,77.05033112,28500,INR,2.0,0.0,Unknown,,Posted a month ago,No Deposit,Furnished,27.142857142857142,Large,40
1 BHK Apartment ,450,Chattarpur,Delhi,28.49751854,77.17887115,18000,INR,1.0,0.0,Unknown,,Posted a month ago,No Deposit,Semi-Furnished,40.0,Small,41
1 BHK Independent Floor ,680,Patel Nagar,Delhi,28.65369034,77.16915894,17140,INR,1.0,0.0,Unknown,,Posted 3 years ago,No Deposit,Furnished,25.205882352941178,Medium,42
2 BHK Independent Floor ,650,Uttam Nagar,Delhi,28.61945724,77.05670929,12000,INR,1.0,0.0,Unknown,,Posted 2 months ago,No Deposit,Semi-Furnished,18.46153846153846,Medium,43
1 BHK Independent Floor ,600,Ramesh Nagar,Delhi,28.64922142,77.13320923,17000,INR,1.0,0.0,Unknown,,Posted 2 years ago,No Deposit,Furnished,28.333333333333332,Medium,44
2 BHK Apartment ,1100,Mayur Vihar II,Delhi,28.61963081,77.30245972,22000,INR,1.0,0.0,Unknown,,Posted 3 years ago,No Deposit,Semi-Furnished,20.0,Large,45
2 BHK Independent Floor ,1125,Naraina,Delhi,28.62810516,77.14019012,30000,INR,2.0,0.0,Unknown,,Posted 2 years ago,No Deposit,Semi-Furnished,26.666666666666668,Large,46
